source_url,target_url,status,redirect_type,notes
"/hello-world/","","removed","410","Permanently removed - WordPress system page not migrated"
"/","/","unchanged","none","URL preserved in Nuxt migration"
"/services/","/services","changed","301","Trailing slash normalization"
"/portfolio/","/projects","changed","301","URL structure changed in Nuxt migration"
"/careers/","/careers","changed","301","Trailing slash normalization"
"/contact/","/contact","changed","301","Trailing slash normalization"
"/about-3/","/about","changed","301","URL structure changed in Nuxt migration"
"/gallery/132/","/projects/132","changed","301","URL structure changed in Nuxt migration"
"/gallery/bridges/","/projects/bridges","changed","301","URL structure changed in Nuxt migration"
"/gallery/commercial/","/projects/commercial","changed","301","URL structure changed in Nuxt migration"
"/gallery/misc/","/projects/misc","changed","301","URL structure changed in Nuxt migration"
"/category/uncategorized/","","removed","410","Permanently removed - WordPress system page not migrated"
"/author/root/","","removed","410","Permanently removed - WordPress system page not migrated"